i95104,Outpatient Care
i2578,Over-the-counter Drugs
ipap,Packaging
i8395412,Packaging/Labeling Services
i2551,Paints/Coatings
i4721,Paper Bags/Treated Paper
i32754,Paper Industry Machinery Manufacturing
i471,Paper Mills
i4722,Paper Stationery Products
ipper,Paper/Pulp
i473,Paperboard Mills
i5020008,Parking Lot Construction
i98204,Parking Lots/Garages
i7501,Passenger Airlines
i84801,Passenger Car Rental/Leasing
i35101,Passenger Cars
i3444,Passive Components
ipayd,Payday Loans
i974110204,Pay-per-view Television
i8362,Payroll Services
iptpl,Peer-to-peer Lending Services
ipension,Pension Funds
i974121,Performing Arts Companies
i98209,Performing Arts/Sports Promotion
iprscp,Personal Care Accessories
iprsca,Personal Care Appliances
ipcare,Personal Care Products/Appliances
i3454,Personal Electronics
i2568,Pesticides
i98203,Pet Care (except Veterinary)
i4222,Pet Food
ipetin,Pet Insurance
ipet,Pet Products
i6540033,Pet/Pet Supply Stores
i25121,Petrochemicals
i3dprn,3D/4D Printing
i246,Abrasive Products
i4752105,Academic/Scientific/Trade Journals
i836,Accounting
iacc,Accounting/Consulting
i2562,Adhesives
iadmin,Administrative/Support Services
i838,Advertising
iadv,Advertising/Marketing/Public Relations
i364,Aerospace Products/Parts
iaer,Aerospace/Defense
i98211,Agents/Managers for Public Figures
i841,Agricultural Equipment Rental/Leasing
i321,Agricultural Machinery
iagrws,Agricultural Raw Material Wholesale
i0,Agriculture
iagins,Agriculture Insurance
iagtech,Agriculture Technology
iagro,Agrochemicals
i7502,Air Freight
i7641,Air Traffic Control
iairtr,Air Transport
i3443,Air/Nautical Navigational Instruments
i3640007,Aircraft Cabin Equipment
i7643,Aircraft Cleaning/Fuelling
iairelc,Aircraft Electronics
i3640002,Aircraft Engines/Parts
i7644,Aircraft Maintenance Services
i3640048,Aircraft Modification
i8480401,Aircraft Rental/Leasing
i75,Airlines
i5020002,Airport Construction
i764,Airports
i3433,Alarms/Signaling Equipment
ialco,Alcoholic Beverages/Drinks
ialpop,Alcopops/Malternatives
ialgo,Algorithmic/Quantitative Trading
i35104,Alternative Fuel Vehicles
ialtful,Alternative Fuels
ialtmed,Alternative Health Practitioners
ialtinv,Alternative Investments
i2245,Aluminum
ialomin,Aluminum Ore Mining
iammu,Ammunition
i3289,Ammunition (except Small Arms)
i974122,Amusement Parks/Arcades
i25782,Analgesics
ianlog,Analog Integrated Circuits
i4221,Animal Feed
i412,Animal Slaughtering/Processing
iannui,Annuities
i2571,Antibiotics
i2577,Anti-depressants
iphvir,Antivirals
i3302021,Applications Software
i03001,Aquaculture
i8371,Architects
i6540034,Art Dealing
i3302022,Artificial Intelligence Technologies
i26,Artificial/Synthetic Fibers
i98212,Artists/Writers/Performers
i244,Asbestos Products
i14002,Asphalt/Tar Products
iabls,Asset Based Lending Services
iahou,Auction Houses
i34542,Audio/Video Equipment
ividbd,Audio/Video/Graphics Integrated Circuits
i971,Audiovisual Production
i3247,Automatic Vending Machines
i9837,Automobile Driving Schools
i3434,Automobile Electronics
iautws,Automobile/Automobile Part Wholesale
iaut,Automotive
i6492,Automotive Parts/Tire Stores
i671,Automotive Repair/Maintenance
iautnv,Automotive Telematics
iadrive,Autonomous Driving Technologies
i8200315,Aviation Insurance
iebus,B2B e-commerce
ibabyf,Baby Food
i814,Banking
ibnk,Banking/Credit
i662,Bars/Public Houses
i2511,Basic Inorganic Chemicals
ibasicm,Basic Materials/Resources
i2512,Basic Organic Chemicals
i3432,Batteries
i98201,Beauty/Personal Care
i6653,Bed and Breakfast Inns
i010010501,Beef Cattle Farming
ibees,Beekeeping/Honey Production
i6421,Beer/Wine/Liquor Stores
ibevrge,Beverages/Drinks
i36302,Bicycles/Bicycle Parts
ibill,Billing Services
ibioful,Biofuels
ibioinf,Bioinformatics
ibiother,Biological Therapy
ibmass,Biomass Heat/Electricity Generation
iphmetrix,Biometrics Technology
ibioph,Biopharmaceuticals
i2569,Biotechnology
iblock,Blockchain Technology
i6491,Boat Dealing
ibody,Body Care Products
i3205,Boilers/Tanks/Vessels
i47563,Book Printing
i4753,Book Publishing
i6531,Book Stores
i653,Book/Office Supplies Stores
iherbs,Botanical/Homeopathic Drugs
ihtwoo,Bottled Water
i419,Bread/Bakery Products
i4223,Breakfast Cereals
i427,Brewing
i5020006,Bridge Construction
ibrdbi,Broadband Equipment
i97411,Broadcasting
i504,Building Completion
i501,Building Construction
ibuildpr,Building Materials/Products
i5010029,Building Refurbishment
i8200304,Buildings/Contents Insurance
i72102,Bus/Coach Services
i3510204,Buses/Coaches
icnsl,Business Consultancy
ibusdev,Business Development Companies/Venture Capital Trusts
ibisw,Business Intelligence Software
i9831,Business Schools
i8395408,Business Service Centers
ibcs,Business/Consumer Services
i9741109,Cable Broadcasting
icadcam,CAD/CAM Software
i6654,Campgrounds/RV Parks
i5020051,Canal/Waterway Construction
i2573,Cancer Drugs
icarbon,Carbon Capture/Storage
i2576,Cardiovascular Drugs
i6652,Casino Hotels
icatins,Catastrophe Insurance
i6613,Caterers/Mobile Food Services
i0100105,Cattle Farming
icellph,Cell/Mobile/Smart Phones
i242,Cement/Ready-mix Concrete
i81401,Central Banking
ichalbk,Challenger Banks
i7504,Chartered Air Freight
i7503,Chartered Passenger Airlines
i3245,Chemical Industry Machinery
ichmws,Chemical Product Wholesale
i25,Chemicals
i95109,Child Day Care Services
ichip,Chipsets
i642,Cigarette/Newspaper/Liquor Stores
i4291,Cigarettes
i97103,Cinema Film Distribution
i97101,Cinema Film Production
icircb,Circuit Boards
i010020602,Citrus Groves
i3640010,Civil Aircraft
i2412,Clay Building Materials
i9232,Cleaning Services
i816,Clearing House/Reserve Activities
iclone,Cloning
i8150206,Closed-end Funds/Investment Trusts
i453,Clothing
i4533,Clothing Accessories
i645,Clothing Stores
icltws,Clothing/Textile Wholesale
iclt,Clothing/Textiles
iappsp,Cloud Computing
i111,Coal Mining
i112,Coal Mining Support Activities
i316,Coating/Engraving/Heat Treating
i0100144,Cocoa Growing
i0100137,Coffee Growing
icoffee,Coffee Products
i12,Coke Products
i25781,Cold Cures
icoldebt,Collateralized Debt Obligation
i81402,Commercial Banking
icmprint,Commercial Printing
i974110202,Commercial Television
i3510202,Commercial Vans
i35102,Commercial Vehicles
icireal,Commercial/Industrial Real Estate
i83104,Commodity Contracts Brokering
i83103,Commodity Contracts Dealing
icmsw,Communications Software
i3283,Compressors/Hydraulic Equipment
i83943,Computer Facilities Management
icph,Computer Hardware
i8394007,Computer Maintenance/Support
idisply,Computer Monitors/Displays
icper,Computer Peripherals
i3302013,Computer Printers/Scanners
icmpse,Computer Servers
i8394,Computer Services
i3302019,Computer Storage Devices
icompst,Computer Stores
i83942,Computer Systems Design Services
i9834,Computer/Computer-aided Training
i3302,Computers/Consumer Electronics
icmpws,Computers/Electronic Equipment Wholesale
icomp,Computing
i243,Concrete Building Products
i4229,Condiments/Sauces
iconf,Confectionery
iconst,Construction
i842,Construction Equipment Rental/Leasing
i3254,Construction Machinery
ielec,Consumer Electronics
icnp,Consumer Goods
i846,Consumer Goods/Appliances Rental
i8150105,Consumer Lending
icntls,Contact Lenses
iconvs,Convenience Stores
i8395411,Conventions/Trade Shows
i472,Converted Paper Products
i4224,Cookies/Crackers
i2114,Copper Ore/Nickel Ore Mining
i2246,Copper/Copper Alloys
i010013205,Corn Farming
iclins,Corporate Liability Insurance
i644,Cosmetics/Perfume Stores
i258,Cosmetics/Toiletries
i0100138,Cotton/Silk Farming
i78,Couriers/Messengers
i8150108,Credit Cards
i81501,Credit Types/Services
i8150102,Credit Unions
i13,Crude Oil/Natural Gas Upstream Operations
i1300003,Crude Petroleum Extraction
icrmsw,Customer Relationship Management Software
i4532,Cut/Sew Clothing
i313,Cutlery/Hand Tools
i010010502,Dairy Cattle Farming
i413,Dairy Products
i5020011,Dam Construction
idmisoft,Data Mining/Analysis Software
i8395466,Data Processing Services
idsrs,Data Recovery Services
idware,Data Warehousing
i4754,Database/Directory Publishing
idating,Dating Services
i8150107,Debit Cards
idebtr,Debt Recovery/Collection Services
i6483,Decorating/DIY/Hardware Stores
idef,Defense Equipment/Products
i95102,Dental Care
identim,Dental Equipment/Implants
i6560002,Department Stores
i2574,Dermatological Treatments
idesal,Desalination
i8372,Design Services
idescl,Designer Clothing
i3302003,Desktop Computers
i8150106,Development Banking
iinsulin,Diabetes Drugs
itheradv,Diagnostic/Therapeutic Devices
i25784,Diet/Nutritional Drugs
idigicam,Digital Cameras
idct,Digital Cellular Technology
i8395463,Digital Content Services
i8385,Digital Marketing
i47562,Digital Printing
idradio,Digital Radio
i974110203,Digital Television
idirma,Direct Marketing
idollar,Discount/Dollar Stores
i424,Distilling
idishea,District Heating/Cooling
i8396,Diversified Holding Companies
idivreit,Diversified REITs
i95101,Doctors/Physicians
i4941,Dolls/Toys/Games
iphdon,Donor Clinics/Services
i14,Downstream Operations
iuav,Drones
iddtech,Drug Delivery Systems
iddkits,Drug Discovery Kits
iphddd,Drug Discovery/Development
i981,Dry Cleaning/Laundry Services
i010013203,Dry Pea/Bean Farming
i3640030,Dual Mode Vehicles
idurhg,Durable Household Products
iebook,e-Book Publishing
iebkre,e-Book Readers/Devices
iecom,E-commerce
iedco,Edge Computing
i010013202,Edible Oil Plant/Seed Farming (except Soybean)
i983,Educational Services
ielear,E-learning/Educational Technology
i16102,Electric Bulk Power Transmission
i347,Electric Lighting Equipment
i16103,Electric Power Distribution
i16101,Electric Power Generation
ieutil,Electric Utilities
i342,Electrical Components/Equipment
i5031,Electrical Contractors
i16,Electricity/Gas Utilities
ievd,Electronic Cigarettes
ielcfsv,Electronic Conferencing Services
i34532,Electronic Consumer Goods Accessories
ietrack,Electronic Navigation/Tracking Systems
i3301,Electronic Office Equipment
iplastic,Electronic Payment Systems
i6482,Electronics/Appliance Stores
iemail,E-mail
iemer,Emergency Treatment/Care
i1,Energy
iengwh,Energy Wholesale
iengine,Engineering Services
iecmsw,Enterprise Content Management Software
ientrps,Enterprise Resource Planning Software
iewm,Environment/Waste Management
i8395413,Environmental Consulting Services
i3442,Environmental Control Systems
i656000301,Etailing
iextrfu,Exchange Traded Funds
i2565,Explosives
i8150110,Export-import Financing
i9231,Exterminating/Pest Control Services
ispecs,Eyeglasses/Spectacles
ieye,Eyewear/Ocular Implants
i432,Fabric Mills
